Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Tuvalu,TUV,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Uganda,UGA,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,9.880922,..,..,..
Ukraine,UKR,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,4.129152,..,..,..
United Arab Emirates,ARE,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,17.31471,..,..,..
United Kingdom,GBR,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,18.17543,..,..,..
United States,USA,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,27.963,..,..,..
Uruguay,URY,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,4.140809,..,..,..
Uzbekistan,UZB,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,2.536087,..,..,..
Vanuatu,VUT,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
"Venezuela, RB",VEN,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,5.922817,..,..,..
Vietnam,VNM,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,1.583828,..,..,..
Virgin Islands (U.S.),VIR,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
West Bank and Gaza,PSE,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0.6616074,..,..,..
"Yemen, Rep.",YEM,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Zambia,ZMB,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,10.54885,..,..,..
Zimbabwe,ZWE,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,11.74591,..,..,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Global Financial Development,,,,,,,,
Last Updated: 12/03/2021,,,,,,,,
